dex,slug,name,type1,type2,hp,atk,def,spAtk,spDef,spd,rarity,abilities,learnset,evolves_into,evolve_level,description
1,flamoo,Flamoo,fire,,55,65,45,40,50,55,common,blaze;thick-hide,1:tackle;1:ember;7:flame-charge;13:headbutt,emburn,16,"A calf with a smoldering mane. Warms its herd on cold nights."
2,mosskit,Mosskit,dark,grass,50,55,40,70,55,75,uncommon,leaf-veil;keen-eye,1:scratch;1:razor-leaf;6:shadow-sneak;12:haze,,,"A shadow-dwelling kit cloaked in moss. Glides between branches."
3,axoltule,Axoltule,water,crystal,75,50,80,55,75,30,uncommon,sturdy;hydration,1:water-gun;1:harden;8:mud-shot;14:crystal-shard,,,"A gentle axolotl that carries a crystal-encrusted shell drawn from cave pools."
4,amerex,Amerex,psychic,crystal,60,75,55,85,60,65,rare,prism-mind;crystal-armor,1:confusion;1:crystal-shard;10:psybeam;16:prism-beam,,,"Floating amethysts orbit its skull, refracting its thoughts into raw force."
5,silfing,Silfing,water,dragon,65,60,55,70,70,60,uncommon,torrent;serene-grace,1:water-gun;1:twister;7:bubble-beam;13:dragon-breath,,,"A juvenile dragon of shallow lagoons. Hums when content."
6,blippet006,Blippet 006,fighting,poison,74,43,63,34,60,26,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
7,blippet007,Blippet 007,poison,,48,53,46,46,49,46,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
8,blippet008,Blippet 008,ground,,63,67,66,60,67,61,uncommon,adaptable;hardy,1:mud-shot;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
9,blippet009,Blippet 009,flying,,84,46,76,55,92,36,uncommon,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
10,blippet010,Blippet 010,psychic,,54,52,52,53,54,53,common,adaptable;hardy,1:confusion;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
11,blippet011,Blippet 011,bug,,62,96,51,42,49,88,uncommon,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
12,blippet012,Blippet 012,rock,ice,68,46,72,35,57,24,common,adaptable;hardy,1:rock-throw;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
13,blippet013,Blippet 013,ghost,,67,35,62,44,65,26,common,adaptable;hardy,1:shadow-sneak;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
14,blippet014,Blippet 014,dragon,,62,96,51,40,53,87,uncommon,adaptable;hardy,1:dragon-breath;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
15,blippet015,Blippet 015,dark,fairy,67,36,67,40,67,25,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
